frame,value
0,42.437546
1,36.981396
2,32.128319
3,27.950546
4,24.563540
5,38.905693
6,32.785412
7,27.210295
8,21.378973
9,16.998772
10,27.954639
11,20.784998
12,15.179566
13,13.986119
14,38.362221
15,32.355793
16,27.997141
17,23.772484
18,20.466108
19,51.183815
20,42.789543
21,33.156647
22,24.252308
23,20.619019
24,42.462456
25,35.326706
26,28.379356
27,22.329700
28,17.354170
29,42.614552
30,37.192493
31,32.445683
32,28.287807
33,24.696016
34,38.610016
35,33.133972
36,27.450832
37,21.610561
38,16.613533
39,27.264147
40,19.970800
41,14.560981
42,13.471043
43,38.317448
44,32.840057
45,27.637499
46,23.627487
47,20.862511
48,47.054142
49,38.158165
50,29.295732
51,24.230396
52,19.374205
53,40.767845
54,33.055328
55,26.476727
56,21.095432
57,16.742508
58,42.655586
59,37.146328
60,32.325031
61,28.192104
62,24.732092
63,38.301609
64,32.264603
65,26.455196
66,20.557947
67,16.435650
68,27.326569
69,20.016668
70,14.533237
71,13.341364
72,38.454021
73,32.888981
74,27.575132
75,23.977989
76,21.032827
77,47.150608
78,38.737415
79,28.846123
80,20.604208
81,18.621218
82,41.384026
83,33.218132
84,26.764339
85,21.061634
86,16.472391
87,42.425789
88,36.974060
89,32.094315
90,28.111904
91,24.444017
92,38.562462
93,32.506916
94,26.501911
95,20.652050
96,16.140415
97,27.098202
98,20.050079
99,14.511988
100,12.689122
101,38.543312
102,32.714390
103,28.572781
104,24.008827
105,19.741684
106,48.053318
107,38.083881
108,29.158306
109,20.948971
110,18.783497
111,40.062683
112,32.458950
113,26.731590
114,20.655750
115,16.412178
116,41.984421
117,36.499695
118,31.389069
119,27.068165
120,23.428114
121,38.869865
122,32.443081
123,24.960402
124,19.659136
125,16.434591
126,26.964796
127,19.701868
128,14.347340
129,13.099561
130,38.584343
131,32.087818
132,28.016108
133,23.095438
134,20.410576
135,53.442001
136,39.834148
137,29.285660
138,23.686571
139,20.469757
140,40.238754
141,33.189720
142,26.220987
143,20.450354
144,17.113350
145,42.529636
146,37.250408
147,32.239574
148,28.312065
149,24.632452
150,38.489510
151,32.342487
152,26.972866
153,21.254734
154,16.276840
155,28.456024
156,21.174671
157,15.766330
158,14.576584
159,38.232094
160,32.942722
161,27.775640
162,24.577820
163,20.538271
164,48.839855
165,37.742332
166,30.826815
167,23.228701
168,18.069584
169,41.097862
170,34.183178
171,27.833763
172,21.731331
173,16.770044
174,42.526875
175,37.088028
176,32.211464
177,28.303673
178,24.843662
179,39.373055
180,33.750404
181,28.274849
182,22.809643
183,16.989468
184,28.014624
185,20.679911
186,15.385744
187,14.158016
188,38.594654
189,33.069447
190,28.373472
191,24.418358
192,20.775940
193,52.612072
194,43.193893
195,33.513073
196,24.610092
197,20.792454
198,42.028290
199,35.474678
200,28.256710
201,22.732491
202,17.442173
203,42.540249
204,36.977859
205,32.261822
206,28.068411
207,24.560287
208,37.370007
209,31.280041
210,25.222399
211,19.963320
212,16.195990
213,27.381334
214,20.183521
215,14.726945
216,13.495764
217,38.429989
218,33.052017
219,27.842691
220,24.496767
221,19.975832
222,51.578861
223,42.261463
224,31.052111
225,22.487762
226,20.118000
227,41.491547
228,33.687927
229,27.332153
230,21.579845
231,17.383556
232,42.458340
233,37.224010
234,32.355846
235,28.212540
236,24.616158
237,38.097076
238,32.068428
239,25.993786
240,20.200062
241,15.945303
242,27.038214
243,19.919996
244,14.327074
245,39.119499
246,32.649494
247,28.205816
248,24.027224
249,19.946573
250,52.092560
251,39.817314
252,29.479120
253,22.179640
254,19.856043
255,41.824020
256,34.390537
257,26.904385
258,20.667315
259,16.175987
260,42.367470
261,36.625599
262,31.470776
263,27.421124
264,23.713503
265,40.635494
266,33.605438
267,26.207201
268,20.714397
269,17.594681
270,28.287971
271,21.184830
272,15.586190
273,13.783192
274,38.441589
275,33.124603
276,27.312923
277,23.431597
278,19.886166
279,52.218014
280,39.299034
281,28.874035
282,25.823273
283,22.520367
284,41.784180
285,34.712406
286,27.757950
287,21.798155
288,17.930073
289,42.610554
290,37.154251
291,32.432007
292,28.311550
293,24.621414
294,37.925308
295,30.563808
296,23.834045
297,19.695736
298,16.681870
299,27.747025
300,20.712185
301,15.286213
302,14.131135
303,38.614162
304,32.667564
305,27.998444
306,24.308519
307,20.215960
308,46.736839
309,33.683437
310,26.980207
311,21.746035
312,21.269047
313,39.988247
314,31.068201
