frame,value
0,49.051750
1,42.342319
2,36.368965
3,31.318071
4,27.336786
5,51.985077
6,40.048065
7,31.142523
8,23.199394
9,17.859646
10,28.508270
11,21.132599
12,15.400319
13,14.184918
14,40.183735
15,33.575867
16,29.003096
17,24.553692
18,21.140396
19,58.641113
20,51.053879
21,40.650772
22,27.030968
23,22.173975
24,49.645081
25,41.277016
26,31.953541
27,24.208250
28,18.248631
29,49.925838
30,42.701546
31,36.752277
32,31.740547
33,27.621452
34,51.305317
35,40.415421
36,31.291862
37,23.406851
38,17.370951
39,28.017035
40,20.402784
41,14.828568
42,13.712959
43,39.988419
44,34.097557
45,28.512718
46,24.327103
47,21.606989
48,58.179352
49,47.080135
50,33.854267
51,26.635296
52,20.446922
53,47.018494
54,37.130505
55,29.042328
56,22.514572
57,17.409119
58,50.808300
59,43.333076
60,36.979538
61,31.859875
62,27.776297
63,49.244385
64,38.351318
65,29.649847
66,21.991186
67,17.110304
68,28.201797
69,20.504604
70,14.830811
71,13.607224
72,40.332237
73,34.314629
74,28.520777
75,24.813770
76,21.720751
77,59.250122
78,49.262966
79,33.421532
80,21.998549
81,19.632326
82,48.853256
83,37.738152
84,29.380043
85,22.482147
86,17.152548
87,48.890617
88,42.076782
89,36.103374
90,31.359158
91,27.046703
92,51.354912
93,39.658344
94,30.124172
95,22.270061
96,16.871294
97,27.501278
98,20.305452
99,14.675307
100,12.828479
101,40.033936
102,33.872227
103,29.599810
104,24.849125
105,20.281796
106,57.238064
107,46.380814
108,33.878090
109,22.539890
110,19.930996
111,45.904625
112,36.296692
113,29.575794
114,22.141376
115,17.171127
116,46.727375
117,39.968109
118,33.997009
119,29.145166
120,25.140049
121,48.473259
122,37.351444
123,26.785782
124,20.394552
125,16.804312
126,27.453857
127,19.971264
128,14.512846
129,13.245359
130,40.056416
131,32.979591
132,28.772800
133,23.614304
134,20.967514
135,62.883766
136,46.119061
137,32.376904
138,25.020977
139,21.303589
140,45.278854
141,36.669914
142,28.133110
143,21.274670
144,17.543791
145,48.783802
146,42.768356
147,36.854088
148,32.231209
149,27.920275
150,53.348434
151,40.620781
152,31.474226
153,23.362186
154,17.212870
155,30.086859
156,22.058060
157,16.300194
158,15.052752
159,39.807949
160,34.358219
161,28.754873
162,25.582619
163,21.291054
164,56.652779
165,46.437489
166,38.533875
167,26.237001
168,19.333021
169,46.848217
170,40.501331
171,32.022961
172,23.803391
173,17.747931
174,52.424202
175,44.416561
176,37.586151
177,32.480682
178,28.197096
179,54.248314
180,42.618652
181,33.235508
182,25.324615
183,17.954468
184,29.226578
185,21.373760
186,15.823078
187,14.548901
188,40.846821
189,34.697788
190,29.597279
191,25.451200
192,21.481831
193,64.892319
194,56.698627
195,42.693703
196,28.111553
197,22.727251
198,51.232811
199,41.505680
200,31.690750
201,24.905756
202,18.477385
203,52.632629
204,44.449444
205,37.786453
206,32.226982
207,27.820589
208,47.556175
209,36.821449
210,27.922035
211,21.249016
212,16.891127
213,28.034710
214,20.554676
215,14.954380
216,13.698331
217,40.506668
218,34.686535
219,29.044693
220,25.522804
221,20.611359
222,64.272606
223,55.269489
224,37.057770
225,24.413853
226,21.443760
227,50.741383
228,39.176392
229,30.440371
230,23.134392
231,18.201996
232,52.385136
233,44.737907
234,37.825691
235,32.387913
236,27.940752
237,49.687050
238,38.407852
239,29.106119
240,21.600357
241,16.630857
242,27.864113
243,20.384138
244,14.605841
245,41.428341
246,34.138996
247,29.443371
248,24.968184
249,20.572012
250,64.362961
251,51.842155
252,34.850880
253,24.136084
254,21.205694
255,50.771240
256,40.004234
257,29.937925
258,22.054276
259,16.872213
260,45.765678
261,39.162964
262,33.536430
263,29.242327
264,25.344444
265,50.218590
266,38.387936
267,27.999123
268,21.426876
269,17.969467
270,28.598459
271,21.364426
272,15.695676
273,13.875895
274,39.399895
275,33.895275
276,27.824316
277,23.916523
278,20.332329
279,57.831532
280,43.591618
281,30.947550
282,27.135002
283,23.413002
284,45.130058
285,37.513573
286,29.621346
287,22.625982
288,18.333988
289,48.330761
290,41.417503
291,35.791531
292,31.092463
293,27.042538
294,44.494995
295,33.384903
296,24.891777
297,20.183382
298,16.933826
299,28.081135
300,20.898014
301,15.399007
302,14.232177
303,40.019680
304,33.598526
305,28.723652
306,24.979380
307,20.684177
308,56.593269
309,37.339653
310,28.549585
311,22.406948
312,21.899876
313,44.847904
314,33.368183
315,25.976143
316,21.028503
317,17.822744
318,53.518135
319,45.580223
320,38.940517
321,33.298714
322,28.533222
323,57.576450
324,47.081482
325,36.521889
326,28.667927
327,21.515266
328,28.576141
329,20.924385
330,15.145298
331,11.005127
332,41.098679
333,35.110474
334,28.923199
335,24.492292
336,21.066549
337,61.881298
338,58.232571
339,48.116882
340,35.605003
341,23.876543
342,51.937428
343,43.682804
344,34.019196
345,27.426212
346,21.182222
347,54.533821
348,46.368614
349,39.334579
350,33.395714
351,28.473337
352,53.352337
353,40.735443
354,31.475609
355,24.148046
356,18.029606
357,28.620045
358,20.771685
359,15.079685
360,40.774544
361,34.501431
362,29.218576
363,23.734844
364,20.802849
365,63.818481
366,56.652187
367,41.518532
368,26.803871
369,18.146704
370,52.669304
371,42.975807
372,32.563576
373,24.914572
374,18.438255
375,46.994858
376,40.448399
377,35.327232
378,31.102261
379,27.116287
380,44.825806
381,34.148567
382,25.669586
383,20.075159
384,16.698059
385,28.132832
386,20.696022
387,14.987152
388,39.275124
389,33.762848
390,28.769192
391,25.006964
392,20.850515
393,48.972660
394,37.390514
395,29.979097
396,26.349804
397,21.528761
398,41.622509
399,34.582279
400,26.712349
401,20.666672
402,17.427937
403,51.242462
404,43.847549
405,37.305138
406,32.002285
407,27.594297
408,57.235870
409,46.059109
410,35.846531
411,27.155457
412,18.880863
413,28.238396
414,20.646538
415,14.905709
416,13.786108
417,40.441368
418,34.518150
419,29.649717
420,24.420467
421,21.215115
422,61.627678
423,52.054668
424,45.126518
425,31.327398
426,20.712290
427,51.263092
428,43.661270
429,35.127151
430,26.975254
431,19.144234
432,50.896103
433,43.851990
434,37.676510
435,32.382713
436,28.062077
437,57.681278
438,46.283096
439,36.082558
440,27.896433
441,20.614721
442,28.592937
443,20.835325
444,15.118975
445,13.944244
446,39.153965
447,34.558453
448,28.149147
449,25.367344
450,21.339134
451,58.086971
452,52.743969
453,43.733936
454,32.395447
455,22.967787
456,50.546185
457,43.022911
458,34.330009
459,26.441475
460,20.659306
461,50.416012
462,42.673897
463,36.515697
464,31.313614
465,27.158182
466,45.932919
467,36.227310
468,28.021748
469,20.867771
470,16.582205
471,27.633343
472,20.187872
473,14.657112
474,13.516994
475,39.475018
476,34.210186
477,28.870243
478,24.709526
479,20.700413
480,58.337868
481,44.096420
482,31.041384
483,25.392391
484,19.865795
485,48.103100
486,36.008072
487,27.928667
488,21.325075
489,17.062567
490,49.880119
491,42.372604
492,36.414368
493,31.428520
494,27.109276
495,48.809933
496,37.503696
497,27.668621
498,20.865208
499,16.826977
500,27.572691
501,20.295311
502,14.775210
503,13.550339
504,40.220028
505,33.596233
506,28.969229
507,24.984180
508,20.903662
509,61.962334
510,47.494995
511,32.178734
512,24.006826
513,20.331139
514,47.906555
515,36.998970
516,28.798573
517,21.992838
518,17.411211
519,49.339134
520,42.023014
521,35.766026
522,30.994265
523,26.872637
524,53.198528
525,41.263481
526,31.575165
527,22.634174
528,17.220486
529,27.748257
530,20.257877
531,14.622947
532,13.555889
533,39.114849
534,34.229446
535,28.665295
536,24.626638
537,20.519274
538,55.983677
539,47.038612
540,33.673054
541,24.938946
542,19.784124
543,46.853477
544,37.575665
545,29.454172
546,22.726099
547,17.294971
548,46.703979
549,40.060497
550,34.261353
551,29.325539
552,25.291882
553,49.591019
554,38.226555
555,28.633923
556,21.280865
557,16.771429
558,27.442635
559,19.969656
560,14.473678
561,13.438544
562,39.862747
563,34.220085
564,28.508453
565,24.758713
566,20.695477
567,64.086281
568,52.643703
569,34.941795
570,25.471495
571,19.984648
572,47.928185
573,38.764465
574,29.867048
575,22.453438
576,17.032291
577,50.149075
578,43.097778
579,37.221107
580,32.283474
581,27.747839
582,56.928886
583,45.304924
584,34.928680
585,26.403996
586,18.690178
587,27.816093
588,20.411894
589,14.770283
590,13.566399
591,40.484612
592,33.779541
593,29.278028
594,24.357004
595,21.517124
596,60.264946
597,52.549099
598,42.929264
599,28.918499
600,23.399937
601,49.190907
602,40.726704
603,31.803715
604,24.991600
605,18.944061
606,50.688133
607,42.982712
608,36.585239
609,31.267912
610,27.171085
611,46.422905
612,34.803009
613,26.620903
614,20.747566
615,16.683157
616,27.786352
617,20.290224
618,14.626097
619,13.472104
620,40.378876
621,34.452854
622,28.770712
623,24.539940
624,20.972851
625,62.315639
626,46.711594
627,32.060200
628,23.805820
629,19.436422
630,49.692310
631,37.900002
632,28.802423
633,21.820639
634,17.123102
635,48.492531
636,40.815376
637,34.690079
638,29.792015
639,25.630646
640,51.885605
641,40.985680
642,30.368477
643,21.889713
644,16.813858
645,27.741680
646,20.151123
647,14.531843
648,13.296139
649,40.136639
650,34.011452
651,29.139320
652,24.586287
653,20.315020
654,54.915062
655,46.014168
656,33.763203
657,25.536680
658,19.158567
659,49.238029
660,38.150352
661,29.853289
662,22.557308
663,17.109669
664,47.653915
665,40.978630
666,35.501579
667,30.774210
668,26.871544
669,51.682781
670,40.157455
671,30.326651
672,21.581736
673,16.979107
674,30.433647
675,23.022938
676,17.253807
677,14.898554
678,39.205162
679,33.454216
680,28.610020
681,24.802505
682,20.425758
683,56.706715
684,54.526550
685,39.037434
686,26.365719
687,20.978134
688,46.470093
689,39.412552
690,31.339508
691,23.113056
692,17.615412
693,45.428104
694,39.044769
695,33.910900
696,29.578506
697,25.785458
698,41.198277
699,30.658871
700,24.373625
701,20.396177
702,16.869711
703,27.489475
704,20.237467
705,14.915160
706,13.666557
707,38.998325
708,34.076530
709,28.273270
710,24.325306
711,21.460258
712,44.571003
713,35.051098
714,29.558718
715,24.857492
716,24.857492
717,40.407867
718,32.207512
719,25.734173
720,21.300289
721,19.243725
722,47.152462
723,40.750793
724,35.275600
725,30.952616
726,27.067213
727,42.972687
728,32.715385
729,24.764446
730,19.800541
731,16.693460
732,27.904959
733,20.462215
734,14.834988
735,39.506966
736,33.639046
737,28.816652
738,25.081871
739,20.924826
740,51.651390
741,37.448231
742,27.380024
743,26.053329
744,21.953688
745,43.384590
746,33.616455
747,25.955534
748,20.254309
749,16.795019
750,51.947197
751,44.247536
752,37.799355
753,32.687466
754,28.086807
755,53.714577
756,43.074932
757,34.274384
758,26.291458
759,18.989044
760,28.272579
761,20.582685
762,14.777904
763,13.627354
764,40.746479
765,34.175533
766,28.928051
767,25.124304
768,21.597193
769,60.831619
770,52.448700
771,41.352013
772,27.984425
773,23.000372
774,50.510460
775,40.323605
776,31.445971
777,24.733389
778,19.444349
779,47.651741
