frame,value
0,0.832645
1,0.684971
2,0.534842
3,0.402617
4,0.302020
5,0.811459
6,0.636216
7,0.454038
8,0.260736
9,0.076590
10,0.935044
11,0.865128
12,0.721391
13,0.666104
14,0.886722
15,0.758296
16,0.608984
17,0.460091
18,0.332655
19,0.968946
20,0.700024
21,0.476945
22,0.276610
23,0.168402
24,0.831069
25,0.617859
26,0.417322
27,0.222435
28,0.067946
29,0.813500
30,0.650223
31,0.498307
32,0.372644
33,0.274595
34,0.813848
35,0.661407
36,0.460845
37,0.261465
38,0.065403
39,0.908949
40,0.792744
41,0.545265
42,0.446443
43,0.879052
44,0.739927
45,0.570358
46,0.422477
47,0.296068
48,0.779999
49,0.549444
50,0.359903
51,0.238362
52,0.121286
53,0.756060
54,0.508141
55,0.309953
56,0.154615
57,0.053805
58,0.824751
59,0.664500
60,0.505854
61,0.377467
62,0.280076
63,0.803387
64,0.623634
65,0.425688
66,0.218467
67,0.037216
68,0.901000
69,0.763075
70,0.424693
71,0.251377
72,0.884162
73,0.742428
74,0.576584
75,0.424002
76,0.324563
77,0.794628
78,0.589424
79,0.380495
80,0.162709
81,0.112750
82,0.785292
83,0.555575
84,0.345958
85,0.159047
86,0.038729
87,0.821104
88,0.667845
89,0.519926
90,0.401307
91,0.301048
92,0.806428
93,0.639946
94,0.456984
95,0.266026
96,0.093750
97,0.938315
98,0.880037
99,0.766887
100,0.698588
101,0.893674
102,0.756220
103,0.602322
104,0.436188
105,0.332598
106,0.825963
107,0.593128
108,0.411004
109,0.202166
110,0.145380
111,0.757525
112,0.543116
113,0.365265
114,0.191989
115,0.081333
116,0.803984
117,0.650125
118,0.491383
119,0.366321
120,0.271761
121,0.799719
122,0.655034
123,0.481407
124,0.269423
125,0.105849
126,0.897026
127,0.748229
128,0.394513
129,0.206632
130,0.875643
131,0.728572
132,0.565782
133,0.405358
134,0.277253
135,0.975714
136,0.671908
137,0.455748
138,0.284380
139,0.180668
140,0.752331
141,0.582965
142,0.394978
143,0.228696
144,0.127255
145,0.843183
146,0.712787
147,0.573559
148,0.460809
149,0.357290
150,0.808255
151,0.645575
152,0.489038
153,0.317072
154,0.139781
155,0.921976
156,0.824278
157,0.613124
158,0.513915
159,0.898130
160,0.781293
161,0.648715
162,0.512326
163,0.387609
164,0.854516
165,0.594736
166,0.471555
167,0.312167
168,0.184485
169,0.803910
170,0.603278
171,0.438702
172,0.273148
173,0.123773
174,0.832335
175,0.680673
176,0.522973
177,0.399107
178,0.299541
179,0.842451
180,0.699152
181,0.517153
182,0.329542
183,0.077487
184,0.909344
185,0.782420
186,0.487033
187,0.326685
188,0.890833
189,0.765558
190,0.609964
191,0.451905
192,0.347865
193,0.975578
194,0.700593
195,0.488233
196,0.287336
197,0.179847
198,0.837001
199,0.648915
200,0.425165
201,0.240693
202,0.076707
203,0.847920
204,0.705397
205,0.563994
206,0.437311
207,0.337015
208,0.840968
209,0.704769
210,0.539738
211,0.355823
212,0.188902
213,0.943669
214,0.879892
215,0.753912
216,0.702093
217,0.905004
218,0.790220
219,0.628456
220,0.496220
221,0.371992
222,0.956438
223,0.772708
224,0.575455
225,0.347284
226,0.270881
227,0.843945
228,0.676390
229,0.501893
230,0.328761
231,0.179045
232,0.839787
233,0.700616
234,0.552388
235,0.425105
236,0.321052
237,0.833610
238,0.687769
239,0.520939
240,0.324602
241,0.123406
242,0.924379
243,0.829195
244,0.605494
245,0.905281
246,0.775813
247,0.619569
248,0.468329
249,0.354981
250,0.970851
251,0.694125
252,0.499258
253,0.297704
254,0.224725
255,0.838803
256,0.657863
257,0.450472
258,0.253342
259,0.101529
260,0.760702
261,0.587318
262,0.436835
263,0.334341
264,0.249842
265,0.714061
266,0.492248
267,0.308700
268,0.164078
269,0.088404
270,0.901321
271,0.793476
272,0.582254
273,0.460116
274,0.843329
275,0.683497
276,0.514856
277,0.371193
278,0.265550
279,0.965582
280,0.518781
281,0.289956
282,0.231819
283,0.162014
284,0.670670
285,0.438822
286,0.267298
287,0.146275
288,0.087108
289,0.786167
290,0.609843
291,0.455584
292,0.338963
293,0.251483
294,0.723991
295,0.518746
296,0.295143
297,0.131608
298,0.064403
299,0.888296
300,0.754660
301,0.472991
302,0.358137
303,0.861235
304,0.700907
305,0.522353
306,0.372156
307,0.274291
308,0.760057
309,0.502156
310,0.318374
311,0.165615
312,0.150587
313,0.684486
314,0.440492
315,0.248001
316,0.124679
317,0.075183
318,0.863175
319,0.725471
320,0.592091
321,0.468578
322,0.364382
323,0.881943
324,0.779832
325,0.647785
326,0.511765
327,0.355739
328,0.945155
329,0.883563
330,0.757117
331,0.494654
332,0.911789
333,0.803654
334,0.652736
335,0.522955
336,0.397351
337,0.975415
338,0.831369
339,0.611442
340,0.449203
341,0.280496
342,0.862281
343,0.722496
344,0.548932
345,0.393435
346,0.248354
347,0.852412
348,0.714184
349,0.571615
350,0.441523
351,0.329044
352,0.857106
353,0.720853
354,0.558057
355,0.379463
356,0.165789
357,0.927374
358,0.831075
359,0.612866
360,0.898173
361,0.797467
362,0.642258
363,0.504614
364,0.368686
365,0.889383
366,0.717254
367,0.527384
368,0.333517
369,0.141272
370,0.850696
371,0.676899
372,0.489961
373,0.325036
374,0.140944
375,0.780295
376,0.612655
377,0.481110
378,0.377179
379,0.292126
380,0.750066
381,0.581977
382,0.395892
383,0.197618
384,0.054520
385,0.851376
386,0.663354
387,0.233691
388,0.861327
389,0.703143
390,0.558633
391,0.399997
392,0.318610
393,0.724144
394,0.498816
395,0.336939
396,0.265563
397,0.183013
398,0.644974
399,0.444291
400,0.274746
401,0.140245
402,0.082453
403,0.851300
404,0.714626
405,0.572686
406,0.448919
407,0.344425
408,0.828010
409,0.682514
410,0.519463
411,0.367715
412,0.185895
413,0.933072
414,0.851080
415,0.667563
416,0.595451
417,0.907554
418,0.785961
419,0.649963
420,0.505899
421,0.382918
